Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA000255 1012 722 825 976 738 589
BGIOSGA000256 187 152 135 328 148 283
BGIOSGA000257 788 603 460 698 364 378
BGIOSGA000258 338 5341 645 1625 2306 1821
BGIOSGA000259 825 5241 575 1256 3478 1369
BGIOSGA000260 412 1865 228 766 1644 408
BGIOSGA000261 1362 424 567 784 264 488
BGIOSGA000262 704 563 403 694 682 567
BGIOSGA000263 290 388 489 360 590 229
BGIOSGA000264 55 1223 81 753 1007 286
BGIOSGA000265 304 24 174 136 0 58
BGIOSGA000266 0 0 0 0 0 0
BGIOSGA000267 2 2 2 4 2 4
BGIOSGA000268 78 22 75 77 27 177
BGIOSGA000269 0 0 0 0 0 1
BGIOSGA000270 20 0 0 3 0 0
BGIOSGA000271 63 22 28 49 30 33
BGIOSGA000272 39 67 5 228 54 195
BGIOSGA000273 24 17 8 12 5 10
BGIOSGA000274 49 191 181 164 34 270
BGIOSGA000275 195 84 282 212 62 104
BGIOSGA000276 2 0 0 0 0 0
BGIOSGA000277 206 192 170 196 118 204
BGIOSGA000278 7 4 6 6 8 4
BGIOSGA000279 1936 3316 4612 3224 4257 4331
BGIOSGA000280 148 54 39 124 55 92
BGIOSGA000281 0 0 0 0 0 0
BGIOSGA000282 0 0 0 0 0 0
BGIOSGA000283 90 0 10 314 0 31
BGIOSGA000284 0 0 0 0 0 4
BGIOSGA000285 332 479 675 459 613 526
BGIOSGA000286 29 10 4 51 2 60
BGIOSGA000287 534 379 955 465 474 310
BGIOSGA000288 0 0 0 4 0 6
BGIOSGA000289 0 0 0 0 0 2
BGIOSGA000290 991 2756 2230 553 2965 1409
BGIOSGA000291 418 335 242 523 400 378
BGIOSGA000292 326 166 205 278 105 160
BGIOSGA000293 249 128 276 256 87 221
BGIOSGA000294 280 269 364 288 285 237
BGIOSGA000295 2 6 0 53 8 11
BGIOSGA000296 0 0 0 0 0 0
BGIOSGA000297 0 0 0 0 0 0
BGIOSGA000298 920 453 667 805 391 503
BGIOSGA000299 738 137 314 416 8 126
BGIOSGA000300 0 0 0 0 0 0
BGIOSGA000301 13669 9122 6091 4779 4093 2653
BGIOSGA000302 0 2 0 0 0 0
BGIOSGA000303 30 39 25 31 90 62
BGIOSGA000304 146 259 280 207 380 221
BGIOSGA000305 234 80 213 169 36 97
BGIOSGA000306 602 276 570 479 18 296
BGIOSGA000307 181 74 212 142 41 111
BGIOSGA000308 6 0 0 0 0 0
BGIOSGA000309 320 473 340 145 475 218
BGIOSGA000310 196 84 120 168 58 88
BGIOSGA000311 88 94 108 163 145 212
BGIOSGA000312 294 213 195 131 150 170
BGIOSGA000313 226 46 200 142 104 151
BGIOSGA000314 791 115 304 802 76 340
BGIOSGA000315 69 42 62 113 63 71
BGIOSGA000316 86 10 31 143 2 89
BGIOSGA000317 284 784 982 362 82 459
BGIOSGA000318 339 295 501 295 306 247
BGIOSGA000319 69 271 180 189 555 359
BGIOSGA000320 245 463 430 118 492 278
BGIOSGA000321 0 0 0 0 0 0
